"","Year","Rank","Teams","Conf","WinLoss","AdjustedEM","AdOfE","AdOfER","AdDeE","AdDeER","AdTempo","AdTempoR","Luck","LuckRank","AdSoS","AdSoSR"
"1",2003,"1","Kentucky 1","SEC","32-4","+29.18","116.5","5","87.4","4","67.7","132","+.051","53","+11.20","4"
"2",2003,"2","Kansas 2","B12","30-8","+28.62","115.0","12","86.4","3","72.2","14","-.017","208","+11.84","2"
"3",2003,"3","Pittsburgh 2","BE","28-5","+28.61","114.8","14","86.2","2","64.7","266","-.023","224","+7.07","56"
"4",2003,"4","Arizona 1","P10","28-4","+26.80","115.6","10","88.8","8","72.7","11","-.007","181","+8.69","31"
"5",2003,"5","Illinois 4","B10","25-7","+24.47","113.2","22","88.7","7","67.8","127","-.029","242","+7.29","52"
"6",2003,"6","Duke 3","ACC","26-7","+23.75","115.0","13","91.3","15","70.7","40","-.030","246","+8.85","27"
"7",2003,"7","Texas 1","B12","26-7","+23.49","119.3","3","95.8","58","69.4","67","-.009","188","+10.36","9"
"8",2003,"8","Syracuse 3","BE","30-5","+23.28","114.4","17","91.1","14","71.0","32","+.083","16","+10.32","10"
"9",2003,"9","Oklahoma 1","B12","27-7","+23.01","112.1","25","89.1","10","62.7","299","+.034","84","+9.01","24"
"10",2003,"10","Louisville 4","CUSA","25-7","+22.75","115.8","9","93.0","25","72.5","12","-.029","241","+6.82","61"
"11",2003,"11","Florida 2","SEC","25-8","+22.14","116.5","6","94.4","36","65.0","256","+.008","140","+8.30","36"
"12",2003,"12","Wisconsin 5","B10","24-8","+22.07","114.4","16","92.4","21","61.9","310","-.024","228","+6.46","64"
"13",2003,"13","Maryland 6","ACC","21-10","+22.00","110.9","34","88.9","9","71.5","23","-.078","301","+8.23","38"
"14",2003,"14","Mississippi St. 5","SEC","21-10","+21.53","107.4","79","85.8","1","64.8","263","-.060","290","+8.85","28"
"15",2003,"15","Marquette 3","CUSA","27-6","+21.30","120.5","2","99.2","109","65.7","219","+.070","30","+7.94","42"
"16",2003,"16","Georgia","SEC","19-8","+20.93","120.9","1","99.9","124","67.1","159","+.012","136","+12.71","1"
"17",2003,"17","Saint Joseph's 7","A10","23-7","+20.75","109.0","58","88.3","6","64.1","281","-.049","279","+4.61","88"
"18",2003,"18","Notre Dame 5","BE","24-10","+20.31","116.5","7","96.2","60","69.2","74","+.009","139","+11.00","6"
"19",2003,"19","Michigan St. 7","B10","22-13","+20.26","110.1","43","89.9","12","63.6","286","-.050","280","+10.11","13"
"20",2003,"20","Xavier 3","A10","26-6","+19.88","113.8","19","94.0","29","67.7","131","+.018","120","+4.80","86"
"21",2003,"21","Wake Forest 2","ACC","25-6","+19.87","114.5","15","94.6","37","67.7","130","+.073","25","+7.83","44"
"22",2003,"22","Connecticut 5","BE","23-10","+19.54","111.6","26","92.0","17","71.2","29","+.005","152","+8.75","29"
"23",2003,"23","LSU 8","SEC","21-11","+18.15","111.0","33","92.8","24","67.5","140","-.035","262","+6.27","67"
"24",2003,"24","BYU 12","MWC","23-9","+17.68","109.4","52","91.7","16","65.5","234","-.031","247","+5.49","74"
"25",2003,"25","Oklahoma St. 6","B12","22-10","+17.67","105.9","100","88.2","5","66.7","177","+.003","157","+9.08","22"
"26",2003,"26","Creighton 6","MVC","29-5","+17.54","112.4","24","94.9","40","68.4","103","+.026","99","-0.19","155"
